Functions sorted by metric: Inclusive Bytes Leaked

Incl.     Incl.  Incl.      Incl.         Name
Bytes     Leaks  Bytes      Allocations
Leaked           Allocated
  144874    17     1235116     105        star_target_rule
  144096    15     1031840     103        inversion_rule.warm
  133120   379      397248     984        rebar_rust_continuation::run_program
  131407     4     8392331     134        PyFile_OpenCodeObject
  131407     4     8785799     143        _io_open
  131407     4     8392331     134        _io_open_code
  131072     1     8784124     137        _buffered_init
  131072     1     8521812     131        _io_BufferedReader___init__
  130208    24     1144544     104        single_subscript_attribute_target_rule
  129824    62      184012     666        PyList_Append
  124864    57      192928      91        r_ref
  120202    14     1119980      91        target_with_star_atom_rule
  110856    21     1945992     200        _loop1_81_rule
  110846     2      258638       6        _PyTokenizer_FromString
  110846     2      236213       9        _PyTokenizer_translate_newlines
  110000     8      338900     118        codegen_jump_if
  108712    20     1663848     182        fstring_rule
  108712    20     1655432     184        strings_rule
  100170    16      723884      66        class_def_raw_rule
   97664     9      589696      68        conjunction_rule
   95336    16     1359272     169        fstring_replacement_field_rule
   93841    12      735730      90        _PyTokenizer_Get
   93841    12      735730      90        tok_get_normal_mode.llvm.13497145573455510287
   90944    21     1139507     767        codegen_comprehension
   90640    30      906000     583        codegen_function.warm
   90464    11     1028000     125        await_primary_rule.warm
   88096    19      545856      69        named_expression_rule
   87936     4       89984       5        func_type_comment_rule
   83416    40     2586464    1686        dictresize.llvm.12219610630884000974
   82790   137      194761     332        _PyObject_Realloc
   79328    10      836640      76        conjunction_rule.warm
   75024     3       80416       5        starunpack_helper_impl.warm
   74800    17      390528     144        codegen_setup_annotations_scope
   74304    14      423392      46        star_named_expression_rule
   73786    64      697904     520        _PyUnicode_InitEncodings
   73047    73      700873    2909        PyBytes_FromStringAndSize
   70987    55      552921     488        _PyCodec_InitRegistry
   70656     9      473600      58        star_expression_rule
   70656     9      580512      71        star_expressions_rule
   66939     8       75163       9        _PyPegen_expect_token
   66528    13      404576      43        tuple_rule
   66224     4      165608      28        starunpack_helper_impl
   65792     8      658944      81        expression_rule.warm
   62336    25     1175580    1403        PyDict_SetItem
   61600     5      123200      11        codegen_addcompare.warm
   60416    31      684368   25694        tracemalloc_realloc
   60272    21      190112    2213        _PyTraceMalloc_GetTraces
   60144    20      189488    2207        _Py_hashtable_foreach
   60128    19       74528     129        tracemalloc_get_traces_fill
   59111    22      903068   14453        PyObject_CallOneArg
   58715     7       58715       7        _PyLexer_tok_reserve_buf
   58715     7       58715       7        tok_readline_raw
   58715     7       58715       7        tok_underflow_file
   57568     7      271392      33        shift_expr_rule.warm
   57445    39      271392     186        _PyImport_InitExternal
   57440     4      404096      28        compound_stmt_rule.warm
   56142    15      407161     115        PyObject_GetOptionalAttr
   55433    61      891544     890        _PyObject_MakeTpCall
   55433    61      699457     752        builtin___build_class__
   53305    59      806328     856        type_new
   52800     2       88000       3        codegen_jump_if.warm
   52800     3       61600       4        codegen_make_closure.warm
   50208    11      351904      25        _PyArena_AddPyObject
   46458    30      254033     931        PyObject_CallMethod
   45586     8      604721      75        _PyTokenizer_Get.warm
   41120     5      378304      46        _PyArena_Malloc.warm
   40240     9      483228     314        codegen_visit_expr.llvm.15361129890650386624.warm
   39584    20      311512     253        _PySymtable_Build
   39584    20      311512     253        new_compiler.llvm.16750247332568789628
   38432    24      382944      65        params_rule
   37066     2      221754      14        else_block_rule
   36992     3      212096       8        t_lookahead_rule
   36688    33      102192      85        _PyCode_New
   35968     2      115704       8        codegen_with_inner
   35648    19       61648     628        _TAIL_CALL_CALL_LIST_APPEND.llvm.641356221097560969
   35200     1       35200       1        codegen_visit_stmt.warm
   32896     4      296064      36        _Py_asdl_generic_seq_new
   32896     4      357888      40        bitwise_xor_rule.warm
   32448     4      331328      41        atom_rule.warm
   31974     1      229312       5        PyImport_GetImporter
   31974     1      229312       5        PyObject_CallOneArg.warm
   31974     1      229312       5        get_path_importer
   31974     1      229312       5        pymain_get_importer
   31536    33     1468876   29784        PyType_GenericAlloc
   30384    15      251472     207        analyze_block
   30346    22      229475     268        _PyCfg_OptimizeCodeUnit
   30159    33      457391     484        _PyObject_VectorcallDictTstate
   29128    97      191760    1682        <rebar_rust_continuation::Parser>::alt
   29128    97      191760    1682        <rebar_rust_continuation::Parser>::parse
   29128    97      186720    1556        <rebar_rust_continuation::Parser>::seq
   28992    17      329984      51        param_no_default_rule
   27120     8      176752     126        _TAIL_CALL_STORE_NAME.llvm.641356221097560969
   26581    13      186254      66        scan_once_unicode
   26581    13      186254      66        scanner_call
   26400     2       88000       8        codegen_call_helper_impl.warm
   26400     2      119187      30        codegen_try_except
   26272     5      217056      30        simple_stmt_rule.warm
   26176    31      252728    9093        _TAIL_CALL_LIST_APPEND.llvm.641356221097560969
   24672     3      287840      35        bitwise_and_rule.warm
   24672     3      337184      41        factor_rule.warm
   24672     3      123360      15        target_with_star_atom_rule.warm
   24384    19      261984      47        param_rule
   23328     3      228896      28        annotated_rhs_rule
   23232     7      211936      34        star_named_expressions_rule
   23194    26      201850     224        slot_tp_new
   23020    20      112192      83        PyImport_ImportFrozenModuleObject
   23020    20      121019      99        _PyImport_InitCore
   21976    38      195692     250        cfunction_call
   21066    24      181974     206        tp_new_wrapper
   20352    11       23520      13        scan_once_unicode.warm
   20160     5      317104     150        _PyCompile_AddConst
   19200    52      120000     528        <alloc::raw_vec::RawVec<rebar_rust_continuation::CompiledRepeat>>::grow_one
   18560    10      243200      33        _loop1_30_rule
   16448     2      189152      23        _gather_85_rule
   16448     2      348064      37        bitwise_or_rule.warm
   16448     2      180928      22        double_starred_kvpair_rule
   16448     2      441152      26        elif_stmt_rule
   16448     2      180928      22        kvpair_rule
   15840    13      504528     435        codegen_leave_annotations_scope
   15360    20      276179     313        type_ready.llvm.15860693131918921554
   15040    11      102016      25        slash_with_default_rule
   14336     4       59392      23        set_add_key.llvm.17513995621600767884
   13824    18      165888     216        _PyDict_NewKeysForClass
   13704     9      121911     165        translate_jump_labels_to_targets
   13632     6      202560      22        slash_no_default_rule
   11264     9      194880     481        set_merge_lock_held.llvm.17513995621600767884
   11264     9      205440     796        set_table_resize.llvm.17513995621600767884
   11232     1      164928       2        _PyPegen_is_memoized
   11095    10       50415      41        PyImport_ImportModuleAttrString
   10432     7       86784      18        _loop0_28_rule
   10360     4      340828      70        codegen_subdict
    9824     3      114992      44        _PyCodegen_EnterAnonymousScope
    9240     1        9240       1        codegen_default_arguments.warm
    9200     5       28168      28        symtable_visit_expr
    9200     5       60040      46        symtable_visit_stmt
    8802    11      452834     350        os_listdir
    8800     1        8800       1        codegen_subdict.warm
    8576    47      397493    4678        PyModule_ExecDef
    8576    47      397492    4677        _imp_exec_builtin
    8448    14       30336     108        <alloc::raw_vec::RawVec<rebar_rust_continuation::RepeatUndo>>::grow_one
    8368     5     1108680      94        PyDict_SetDefaultRef
    8224     1       49344       6        _PyAST_Compare
    8224     1       82240      10        _PyPegen_seq_insert_in_front
    8224     1       98688      12        _PyPegen_set_expr_context.warm
    8224     1       16448       2        _loop0_87_rule
    8224     1      100288       4        _loop1_37_rule
    8224     1       16448       2        _tmp_166_rule
    8224     1       49344       6        disjunction_rule
    8224     1       32896       4        finally_block_rule
    8224     1       58880       5        for_if_clauses_rule.warm
    8224     1       90464      11        param_rule.warm
    8224     1      115136      14        slice_rule
    8224     1      115136      14        slices_rule
    8224     1       16448       2        star_targets_rule.warm
    7776     1        7776       1        _PyPegen_joined_str
    7776     1        7776       1        _get_resized_exprs.llvm.866170832033817848
    7776     1      121312       8        _loop1_60_rule.warm
    7168     6      105472      96        PyNumber_InPlaceOr
    7168     6      105472      96        set_ior
    6880     1       15072       2        yield_expr_rule
    6878    38       49611     149        _PyConfig_InitPathConfig
    6878    38       49611     149        config_init_import.llvm.10581916065834249640
    6372    19        8565      29        _PyEval_ImportName.cold
    6229     2      195342    1436        _PyUnicode_FromASCII
    6229     2      161966      52        scanstring_unicode
    6144     8       93056      99        copy_lock_held.llvm.12219610630884000974
    5984     5       24832       9        param_with_default_rule
    5824    14       25792      62        <alloc::raw_vec::RawVec<rebar_rust_continuation::CompiledRun>>::grow_one
    5728     2      171200      19        const_cache_insert.llvm.16750247332568789628
    5603    17        5674      20        <static>@0x1631 (<ld-linux-x86-64.so.2>)
    5603    17        5674      20        <static>@0x4fb81 (<libgp-collector.so>)
    5603    17        5674      20        <static>@0x97bd5 (<libc.so.6>)
    5603    17        5674      20        <static>@0x98138 (<libc.so.6>)
    5603    17        5674      20        <static>@0xa384 (<ld-linux-x86-64.so.2>)
    5603    17        5674      20        <static>@0xd0a1 (<ld-linux-x86-64.so.2>)
    5603    17        5674      20        _PyImport_FindSharedFuncptr
    5603    17        5674      20        _PyImport_GetModInitFunc
    5603    17        5674      20        _dl_catch_exception
    5603    17        6740      25        _imp_create_dynamic
    5603    17        5674      20        dlopen
    5376     5       11872      12        add_const
    5318     6        6920       8        write_location_info_entry
    4736     1       21472       3        starred_expression_rule
    4673     4       21505      23        exec_code_in_module
    4624     1       30744      16        ste_new
    4624     1       18944      10        symtable_enter_block
    4624     1        5192       2        symtable_handle_comprehension
    4608     4       15232       7        _loop1_31_rule
    4576     4       29296      30        symtable_add_def_helper
    4512    58     7226702  209048        tracemalloc_alloc
    4408     3       63408     204        _TAIL_CALL_STORE_SUBSCR_DICT.llvm.641356221097560969
    4400     1      118600      45        codegen_sync_comprehension_generator
    4355    11        4426      14        <static>@0x4328 (<ld-linux-x86-64.so.2>)
    4168     4      354904   10097        make_new_set.llvm.17513995621600767884
    4162     2        4162       2        bytes_repeat
    4096     1        4096       1        decorators_rule
    4032     5      638356     212        builtin_eval
    3936     8      114024    1402        setitem_lock_held.llvm.12219610630884000974
    3911     4      183848     172        PyType_FromMetaclass
    3840     3        8256       6        list_extend
    3817    13        8505      16        <static>@0x15119b (<libc.so.6>)
    3817    13        8505      16        __nss_passwd_lookup2
    3817    13       13073      18        getpwuid_r
    3817    13       14097      19        pwd_getpwuid
    3808     3       42100      69        PyObject_SetAttr
    3648     1       17248       3        fstring_conversion_rule
    3648     1      164896       5        single_target_rule
    3488     3       12632      48        vectorcall_method
    3456     2        3456       2        _loop1_33_rule
    3456     2        3456       2        param_maybe_default_rule
    3456     2        3456       2        star_etc_rule
    3328     2       49344       5        _PyPegen_number_token
    3249     6        3249       6        <static>@0x153907 (<libc.so.6>)
    3200     5       25600      40        _Py_CArray_EnsureCapacity
    3088    11        3135      13        <static>@0x2825 (<ld-linux-x86-64.so.2>)
    3072     3      356416     349        _PyCompile_EnterScope
    3069    41      183165    4483        inner_evp_generic_fetch
    3040     2        8424      38        slot_tp_setattro
    3040     2       10688      10        type_setattro
    3040     2        6080       4        wrap_setattr
    3016    40      184505    4465        EVP_MD_do_all_provided
    3016    40      184505    4465        evp_generic_do_all
    3016    40      184505    4465        hashlib_md_meth_names
    2934    42       14670      84        _Py_EncodeUTF8Ex
    2816     3       81368      37        _PyCompile_ConstCacheMergeOne
    2777     7      144851      26        config_get_codec_name
    2765     5      144743      20        _PyCodec_Lookup
    2720     6      137664     864        bridge_compile_scanner
    2720     6      137664     864        rebar_compile_scanner
    2677     9      712315   17225        _TAIL_CALL_CALL_KW_NON_PY.llvm.641356221097560969
    2656     1       10432       4        list_extend_lock_held.llvm.14879726281964509088
    2368     2        2368       2        default_rule
    2304     3       60672     192        <rebar_rust_continuation::Compiler>::compile
    2288     5       10096      14        Py_Exit
    2288     5       10096      14        _PyErr_PrintEx.llvm.10042080417157410676.cold
    2288     2       62536      36        _TAIL_CALL_CALL_INTRINSIC_1.llvm.641356221097560969
    2288     2      117144      32        _TAIL_CALL_DICT_UPDATE.llvm.641356221097560969
    2288     2       59344      34        import_star.llvm.13489733904191273917.warm
    2288     2      132696      37        insertdict.llvm.12219610630884000974
    2208     3        9760       6        _Py_Finalize.llvm.9093141768944809986
    2208     3       60964    2277        _TAIL_CALL_CALL_BUILTIN_O.llvm.641356221097560969
    2208     3        9760       6        finalize_modules.llvm.9093141768944809986
    2144     1      247008       9        _PyPegen_constant_from_string
    2056     6        4112      12        _PyPathConfig_UpdateGlobal
    2048    69     5716876  233896        tracemalloc_add_trace_unlocked
    1990    24        9950      48        unicode_encode_locale.llvm.15414398618286582215
    1959    32      117230    2904        ossl_algorithm_do_all
    1959    32      118734    2954        ossl_method_construct
    1959    32      117230    2904        ossl_provider_doall_activated
    1872     2       14048       7        errno_exec
    1805     2       52938     169        PyUnicode_FromString
    1715     2      109105    3096        PyUnicode_Concat
    1715     2       98171    3070        _TAIL_CALL_BINARY_OP_ADD_UNICODE.llvm.641356221097560969
    1655    21        8275      42        path_converter
    1653    29      105669    3153        <static>@0xa1dd6 (<libc.so.6>)
    1653    29      105669    3153        CRYPTO_THREAD_run_once
    1628    28       83860    2414        CONF_modules_load_file_ex
    1628    28      101564    3071        OPENSSL_init_crypto.warm
    1628     2       35324     875        method_vectorcall.llvm.2713541651561662277
    1628    28       83860    2414        ossl_config_int
    1628    28       83860    2414        ossl_init_config_ossl_
    1600     2        2208       3        _PyImport_GetBuiltinModuleNames
    1600     2       42155      22        _PySys_Create
    1600     2        7456     120        list_append
    1536     2        1536       2        PyInit__rust_bridge
    1536     2        1536       2        _PyImport_RunModInitFunc
    1520     1        4176       4        PyObject_CallFunctionObjArgs
    1520     1        4692      38        _TAIL_CALL_STORE_ATTR.llvm.641356221097560969
    1520     1        8384       7        builtin_setattr
    1513    19       11309      74        os_stat
    1472     2        2208       3        expressions_rule
    1472     2        2208       3        lambda_param_no_default_rule
