Functions sorted by metric: Inclusive Bytes Leaked

Incl.     Incl.  Incl.      Incl.         Name
Bytes     Leaks  Bytes      Allocations
Leaked           Allocated
  131280   120     1650904    5920        sre_ucs1_match
  126048    23      995232      96        single_subscript_attribute_target_rule
  125142    37     1261424   36933        list_vectorcall
  124864    57      192928      91        r_ref
  124606    37     1647370   51934        _TAIL_CALL_CALL_BUILTIN_CLASS.llvm.641356221097560969
  123264    16     1084640     114        expression_rule
  122432   121      727376     701        _PyObject_NewVar
  121101     4     1729569    1094        _TAIL_CALL_CALL_BUILTIN_FAST.llvm.641356221097560969
  115544    38     3346061   25945        _TAIL_CALL_CALL_METHOD_DESCRIPTOR_FAST_WITH_KEYWORDS.llvm.641356221097560969
  113351    26      808668     130        _PyPegen_fill_token
  111200    11      867360      83        inversion_rule.warm
  110338    37      328855     916        _sre_SRE_Pattern_match
  109244    36      386108    1448        _sre_SRE_Pattern_findall
  109244    36      336748    1282        _sre_SRE_Pattern_split
  109244    36      365348    1772        _sre_SRE_Pattern_subn
  108150    35      807012   18834        _list_extend
  108150    35      297572     800        _sre_SRE_Pattern_fullmatch
  108150    35      380196    1050        calliter_iternext
   90640    30      906000     583        codegen_function.warm
   87936     4       89984       5        func_type_comment_rule
   87936    10      850464      72        star_target_rule
   86272    11      905696      82        star_targets_rule
   82368    64      206568    4251        _TAIL_CALL_CALL_BUILTIN_O.llvm.641356221097560969
   81760    63      141748    1626        list_append
   79712     9      776448      63        target_with_star_atom_rule
   79694     1      177861       3        _PyTokenizer_FromString
   79694     1      173908       7        _PyTokenizer_translate_newlines
   75808    20      226752    2679        _PyTraceMalloc_GetTraces
   75808    20      226128    2673        _Py_hashtable_foreach
   75808    20      100800     163        tracemalloc_get_traces_fill
   75024     3       75792       4        starunpack_helper_impl.warm
   74800    17      390528     144        codegen_setup_annotations_scope
   74016     9      797728      97        await_primary_rule.warm
   73786    64      697904     520        _PyUnicode_InitEncodings
   72992     6      449888      51        conjunction_rule
   71478    71      636487     998        PyBytes_FromStringAndSize
   71040    15      822866     544        codegen_comprehension
   70987    55      552921     488        _PyCodec_InitRegistry
   66224     4      163936      26        starunpack_helper_impl
   65824    11      398464      41        star_named_expression_rule
   65569     1      134362     110        _PyBytes_FromBuffer
   65569     1      134362     110        bytes_new
   64999    11      128333      56        _PyTokenizer_Get
   64999    11      128333      56        tok_get_normal_mode.llvm.13497145573455510287
   61600     5       88000       8        codegen_addcompare.warm
   61186    24      291296     860        _sre_SRE_Scanner_match
   58715     7       58715       7        _PyLexer_tok_reserve_buf
   58715     7       66939       8        _PyPegen_expect_token
   58715     7       58715       7        tok_readline_raw
   58715     7       58715       7        tok_underflow_file
   58048    10      379648      38        tuple_rule
   57387    19      934228   15729        PyObject_CallOneArg
   54656     7      680640      64        conjunction_rule.warm
   54622    14      407033     113        PyObject_GetOptionalAttr
   54208     7      325568      40        star_expression_rule
   54208     7      391360      48        star_expressions_rule
   49536    13      375968      54        named_expression_rule
   49024    10      350720      24        _PyArena_AddPyObject
   46872    23     2487576    1627        dictresize.llvm.12219610630884000974
   44000     2       52800       3        codegen_make_closure.warm
   43751    18      770204     132        _loop1_81_rule
   43502    26      271392     186        _PyImport_InitExternal
   41607    17      488060     114        fstring_rule
   41607    17      479644     116        strings_rule
   41120     5      502688      62        expression_rule.warm
   39600     3      123136      48        codegen_jump_if
   38560    19      272328     228        _PySymtable_Build
   38560    19      272328     228        new_compiler.llvm.16750247332568789628
   37824    21       95476    1934        _TAIL_CALL_CALL_LIST_APPEND.llvm.641356221097560969
   36576    23      204928      52        params_rule
   35968     2      115704       8        codegen_with_inner
   35968     2      211072       7        t_lookahead_rule
   35200     1       35200       1        codegen_visit_stmt.warm
   34448    16     1116408    1349        PyDict_SetItem
   32896     4      304288      37        _PyArena_Malloc.warm
   32896     4      283872      31        bitwise_xor_rule.warm
   32448     4      306656      38        atom_rule.warm
   32407    16      233229     245        PyObject_CallMethod
   31974     1      229312       5        PyImport_GetImporter
   31974     1      229312       5        PyObject_CallOneArg.warm
   31974     1      229312       5        get_path_importer
   31974     1      229312       5        pymain_get_importer
   29360    14      225376     191        analyze_block
   28231    13      201212     103        fstring_replacement_field_rule
   27136    16      168416      40        param_no_default_rule
   26581    13      186254      66        scan_once_unicode
   26581    13      186254      66        scanner_call
   26400     2      109819      28        codegen_try_except
   26400     6      356309     233        codegen_visit_expr.llvm.15361129890650386624.warm
   26186    17      181380     203        _PyCfg_OptimizeCodeUnit
   25888    20      227908    8077        _TAIL_CALL_LIST_APPEND.llvm.641356221097560969
   24672     3      238496      29        _Py_asdl_generic_seq_new
   24672     3      213824      26        bitwise_and_rule.warm
   24672     3      180928      22        shift_expr_rule.warm
   23232     7      203712      33        star_named_expressions_rule
   22528    18      125088      39        param_rule
   20352    11       23520      13        scan_once_unicode.warm
   20160     5      294536     125        _PyCompile_AddConst
   18944    14     6375448  260059        tracemalloc_add_trace_unlocked
   18432     3      238592      38        _Py_hashtable_set.warm
   16704     9      131552      28        _loop1_30_rule
   16448     2      172704      21        _gather_85_rule
   16448     2      172704      21        double_starred_kvpair_rule
   16448     2      172704      21        kvpair_rule
   15840    13      504528     435        codegen_leave_annotations_scope
   15608    11       79512      62        _PyCode_New
   15104     2      146656      18        annotated_rhs_rule
   15040    11       43872      18        slash_with_default_rule
   14994    13      112192      83        PyImport_ImportFrozenModuleObject
   14994    13      121019      99        _PyImport_InitCore
   14336     4       45056      19        set_add_key.llvm.17513995621600767884
   12328     7       91480     120        translate_jump_labels_to_targets
   11776     5       99136      18        slash_no_default_rule
   11232     1      164928       2        _PyPegen_is_memoized
   11095    10       50627      47        PyImport_ImportModuleAttrString
   10478    12      872520     872        _PyObject_MakeTpCall
   10478    12      679665     733        builtin___build_class__
   10432     7       36864      12        _loop0_28_rule
   10360     4      339724      69        codegen_subdict
   10240     8      187712     474        set_merge_lock_held.llvm.17513995621600767884
   10240     8      197248     788        set_table_resize.llvm.17513995621600767884
    9870    11      790616     841        type_new
    9824     3      109568      42        _PyCodegen_EnterAnonymousScope
    9824     3      110144      17        simple_stmt_rule.warm
    9240     1        9240       1        codegen_default_arguments.warm
    9200     5       23576      23        symtable_visit_expr
    9200     5       46952      37        symtable_visit_stmt
    8802    11      387202     348        os_listdir
    8800     1       61600       6        codegen_call_helper_impl.warm
    8800     1        8800       1        codegen_subdict.warm
    8248     9     1307728   29314        PyType_GenericAlloc
    8224     1       41120       5        _PyAST_Compare
    8224     1       65792       8        _PyPegen_seq_insert_in_front
    8224     1       74016       9        _PyPegen_set_expr_context.warm
    8224     1       16448       2        _loop0_87_rule
    8224     1       92064       3        _loop1_37_rule
    8224     1       16448       2        _tmp_166_rule
    8224     1      306944      32        bitwise_or_rule.warm
    8224     1       82240      10        class_def_raw_rule
    8224     1       41120       5        disjunction_rule
    8224     1      230272      28        factor_rule.warm
    8224     1       32896       4        finally_block_rule
    8224     1       24672       3        for_if_clauses_rule.warm
    8224     1       57568       7        param_rule.warm
    8224     1       16448       2        star_targets_rule.warm
    8224     1       82240      10        target_with_star_atom_rule.warm
    7783    44      395692    4675        PyModule_ExecDef
    7783    44      395691    4674        _imp_exec_builtin
    7776     1        7776       1        _PyPegen_joined_str
    7776     1        7776       1        _get_resized_exprs.llvm.866170832033817848
    7776     1       47552       6        _loop1_60_rule.warm
    7323     6       62282      44        _PyTokenizer_Get.warm
    7168     6      100352      91        PyNumber_InPlaceOr
    7168     6      100352      91        set_ior
    7078     8      449343     477        _PyObject_VectorcallDictTstate
    6880     1       15072       2        yield_expr_rule
    6866    38       49675     149        _PyConfig_InitPathConfig
    6866    38       49675     149        config_init_import.llvm.10581916065834249640
    6832     3     1070960      86        PyDict_SetDefaultRef
    6229     2      199086    1592        _PyUnicode_FromASCII
    6229     2      161966      52        scanstring_unicode
    5984     5       16608       8        param_with_default_rule
    5728     2      169528      17        const_cache_insert.llvm.16750247332568789628
    4928     4        9984       8        list_extend
    4773     5        6375       7        write_location_info_entry
    4736     1       21472       3        starred_expression_rule
    4624     1       22248      12        ste_new
    4624     1       17840       9        symtable_enter_block
    4624     1        5192       2        symtable_handle_comprehension
    4608     4        7008       6        _loop1_31_rule
    4576     4       24704      25        symtable_add_def_helper
    4416     4       10912      11        add_const
    4400     1      109232      43        codegen_sync_comprehension_generator
    4384     3       17528     222        list_extend_lock_held.llvm.14879726281964509088
    4162     2      135024      10        bytes_repeat
    4139     1     1853934   19150        _Py_strhex_impl.llvm.2858744154659530028
    4139     1     1853934   19150        bytes_hex
    4096     1        4096       1        decorators_rule
    4032     5      638356     212        builtin_eval
    3817    13        8505      16        <static>@0x15119b (<libc.so.6>)
    3817    13        8505      16        __nss_passwd_lookup2
    3817    13       13073      18        getpwuid_r
    3817    13       14097      19        pwd_getpwuid
    3702    17      190688     241        cfunction_call
    3648     1       17248       3        fstring_conversion_rule
    3648     1      156672       4        single_target_rule
    3456     2        3456       2        _loop1_33_rule
    3456     2        3456       2        param_maybe_default_rule
    3456     2        3456       2        star_etc_rule
    3400     4      193722     216        slot_tp_new
    3249     6        3249       6        <static>@0x153907 (<libc.so.6>)
    3144     3      349016   10094        make_new_set.llvm.17513995621600767884
    3045    40      183165    4483        inner_evp_generic_fetch
    2992    39      184505    4465        EVP_MD_do_all_provided
    2992    39      184505    4465        evp_generic_do_all
    2992    39      184505    4465        hashlib_md_meth_names
    2934    42       14670      84        _Py_EncodeUTF8Ex
    2919     3      181824     170        PyType_FromMetaclass
    2816     3       45176      31        _PyCompile_ConstCacheMergeOne
    2792     3      176970     197        tp_new_wrapper
    2777     7      144851      26        config_get_codec_name
    2765     5      144743      20        _PyCodec_Lookup
    2560     4       19200      30        _Py_CArray_EnsureCapacity
    2368     2        2368       2        default_rule
    2328     5       10096      14        Py_Exit
    2328     5       10096      14        _PyErr_PrintEx.llvm.10042080417157410676.cold
    2288     2       62536      36        _TAIL_CALL_CALL_INTRINSIC_1.llvm.641356221097560969
    2288     2      117144      32        _TAIL_CALL_DICT_UPDATE.llvm.641356221097560969
    2288     2       59344      34        import_star.llvm.13489733904191273917.warm
    2288     2      133360      42        insertdict.llvm.12219610630884000974
    2208     3        9760       6        _Py_Finalize.llvm.9093141768944809986
    2208     3        9760       6        finalize_modules.llvm.9093141768944809986
    2200     1       65688     223        _TAIL_CALL_STORE_SUBSCR_DICT.llvm.641356221097560969
    2161     1     1449455      54        PyUnicode_AsEncodedString
    2161     1     1449455      54        unicode_encode
    2144     1      247008       9        _PyPegen_constant_from_string
    2144     1       48160       4        _PyPegen_number_token
    2082     1      332384     470        _PyBytesWriter_Resize
    2082     1      332384     470        _PyBytes_FromHex.cold
    2082     1      445016    5156        bytes_fromhex
    2056     6        4112      12        _PyPathConfig_UpdateGlobal
    2048     2      273472     268        _PyCompile_EnterScope
    1990    24        9950      48        unicode_encode_locale.llvm.15414398618286582215
    1935    31      117230    2904        ossl_algorithm_do_all
    1935    31      118734    2954        ossl_method_construct
    1935    31      117230    2904        ossl_provider_doall_activated
    1872     2       14048       7        errno_exec
    1805     2       56074     303        PyUnicode_FromString
    1715     2      109105    3096        PyUnicode_Concat
    1715     2       98171    3070        _TAIL_CALL_BINARY_OP_ADD_UNICODE.llvm.641356221097560969
    1680     2      225872    2633        _PyObject_GC_NewVar
    1680     2       14688     173        _sre_compile
    1655    21        8275      42        path_converter
    1629    28      105669    3153        <static>@0xa1dd6 (<libc.so.6>)
    1629    28      105669    3153        CRYPTO_THREAD_run_once
    1604    27       83860    2414        CONF_modules_load_file_ex
    1604    27      101564    3071        OPENSSL_init_crypto.warm
    1604    27       83860    2414        ossl_config_int
    1604    27       83860    2414        ossl_init_config_ossl_
    1600     2        2208       3        _PyImport_GetBuiltinModuleNames
    1600     2       42155      22        _PySys_Create
    1536     2      164352     214        _PyDict_NewKeysForClass
    1536     2       89984      95        copy_lock_held.llvm.12219610630884000974
    1536     2      270907     308        type_ready.llvm.15860693131918921554
    1513    19       10789      69        os_stat
    1472     2        2208       3        expressions_rule
    1472     2        2208       3        lambda_param_no_default_rule
    1472     2        2208       3        lambda_param_rule
    1472     2        2208       3        lambda_params_rule
    1472     2        2208       3        lambdef_rule.warm
    1434     2        7984       6        r_object.llvm.200955471551188220.warm
    1391     3        4154       7        build_string
    1391     3        4154       7        do_string_format
    1391     3       21994      14        method_vectorcall_VARARGS_KEYWORDS.llvm.2646309998738843403
    1376     1        9600       2        _loop0_29_rule
    1312     4      146276    1725        traceback_new
    1280    18       52932     858        CRYPTO_zalloc
